taxon,lfc,se,W,p_value,q_value,diff_abundant,diff_robust,direction
244444.1,0.38609594873964276,0.05066387030737803,7.620735376061799,5.123215134699133e-9,4.713357923923202e-7,TRUE,FALSE,Higher in T2D
248188.1,-0.26072265450392634,0.05020236100043002,-5.193434119596349,5.077336549337663e-6,4.6203762598972733e-4,TRUE,FALSE,Higher in Healthy
175409.1,0.2858036091695384,0.0501626323416403,5.697540097637403,6.208173378131282e-6,5.587356040318154e-4,TRUE,FALSE,Higher in T2D
254595,0.24463273243195066,0.052317095367840113,4.675961666295584,1.0492077412712075e-5,9.337948897313747e-4,TRUE,FALSE,Higher in T2D
254595.1,0.25461867666039656,0.05663959587044553,4.495418315533149,1.259717275851905e-5,0.0011085512027496764,TRUE,FALSE,Higher in T2D
117829,0.24705143036504232,0.05052626600574678,4.889564377010228,1.8734551034517085e-5,0.0016299059400029863,TRUE,FALSE,Higher in T2D
244444,0.24530794347886145,0.05059323486986759,4.848631326101712,4.195178919454088e-5,0.0036078538707305157,TRUE,FALSE,Higher in T2D
152005,0.21303822774760187,0.04987972499347874,4.271038538713965,4.772620071767438e-5,0.004056727061002322,TRUE,FALSE,Higher in T2D
91820,0.2270555854390262,0.050299846104219614,4.514041354491911,7.260961684456399e-5,0.0060992078149433755,TRUE,FALSE,Higher in T2D
156414,-0.20412989589714367,0.05050238161076929,-4.041985533878552,3.25020381909998e-4,0.026976691698529835,TRUE,FALSE,Higher in Healthy
10473,0.18875350692468051,0.05018612233974114,3.761069756433669,3.8168674541708353e-4,0.030993102860296114,TRUE,FALSE,Higher in T2D
252422,0.19228303908994449,0.0507582612228794,3.7882117010594616,3.779646690280014e-4,0.030993102860296114,TRUE,FALSE,Higher in T2D
8406,-0.1939152488517106,0.051394493132402935,-3.773074448893668,4.994219088951606e-4,0.03995375271161285,TRUE,FALSE,Higher in Healthy
192138.1,0.1971236598093023,0.05637452706887205,3.4966796185887077,5.656753125669638e-4,0.04468834969279014,TRUE,FALSE,Higher in T2D
21407.1,0.24343456193043542,0.07446081072130846,3.2692977631087183,0.0012404061254884169,0.09675167778809651,FALSE,FALSE,Higher in T2D
71581.1,0.21796916423831822,0.06673068929820955,3.2664006101337626,0.001257083479318904,0.0967954279075556,FALSE,FALSE,Higher in T2D
103181,0.16909064328165196,0.05173247812490169,3.268558735450551,0.0015806108353391172,0.1201264234857729,FALSE,FALSE,Higher in T2D
43467.1,0.16289529671462166,0.05040932348725044,3.2314517522898565,0.0017814296431200275,0.133168553693622,FALSE,FALSE,Higher in T2D
8406.1,0.16898379891704968,0.05165210117307934,3.271576471803294,0.0017755807159149598,0.133168553693622,FALSE,FALSE,Higher in T2D
16188.1,0.16045459137649085,0.050084111067931474,3.2037024907731437,0.0031345319307838912,0.22882083094722405,FALSE,FALSE,Higher in T2D
256813,-0.14599801581346572,0.05024996969745255,-2.9054349025979045,0.005828765512441129,0.41491230421331154,FALSE,FALSE,Higher in Healthy
179079,-0.15203558742638307,0.050158115363658315,-3.0311263954813445,0.005762670891851549,0.41491230421331154,FALSE,FALSE,Higher in Healthy
44566.1,-0.1459461642218664,0.050965397158046606,-2.863632432202559,0.006239665935830014,0.436776615508101,FALSE,FALSE,Higher in Healthy
60695.1,-0.15109931649356187,0.050501413260873575,-2.9919819414366255,0.006947937164755116,0.479407664368103,FALSE,FALSE,Higher in Healthy
256813.1,-0.13708727360303985,0.050833123720453684,-2.696809945360099,0.008356818807670004,0.5682636789215603,FALSE,FALSE,Higher in Healthy
140152,-0.14197531151192827,0.0500849653750938,-2.8346892215788495,0.008757374682122942,0.5867441037022371,FALSE,FALSE,Higher in Healthy
172945,0.13900292280002946,0.050154703718262576,2.771483280628274,0.010380333722243243,0.685102025668054,FALSE,FALSE,Higher in T2D
44566,0.13540538430848295,0.05026931737280241,2.693599025908841,0.011806452066354915,0.7674193843130694,FALSE,FALSE,Higher in T2D
21407,0.15099811191539692,0.05945696697970391,2.5396201586761276,0.012181437210425979,0.7796119814672626,FALSE,FALSE,Higher in T2D
167925.1,0.13280041173532448,0.04983517301459602,2.6647928300846693,0.01263909477469747,0.7962629708059406,FALSE,FALSE,Higher in T2D
242610,-0.12791847009811966,0.050690391834735976,-2.5235249811279337,0.013260632649637828,0.8221592242775453,FALSE,FALSE,Higher in Healthy
179079.1,0.1273308655682733,0.050679270531835324,2.5124841820343007,0.014402403171196851,0.8785465934430079,FALSE,FALSE,Higher in T2D
140233,-0.015186146151590271,0.0506907655820103,-0.2995840756640633,0.765736304043337,1,FALSE,FALSE,Higher in Healthy
140233.1,-0.12485415113401238,0.05167518940766959,-2.4161334010607733,0.01720608181458415,1,FALSE,FALSE,Higher in Healthy
192138,-0.05339783203967633,0.05206590754373125,-1.0255815092597085,0.3069505739034741,1,FALSE,FALSE,Higher in Healthy
240960.1,-4.476789383667899e-4,0.04990825673362271,-0.008970037578274958,0.9928912330413193,1,FALSE,FALSE,Higher in Healthy
